DateTime,PA07:NO2,PA07:NO,PA07:NOX,OBJECTID
2023/01/01 01:00:00+00,13.3,2.3,16.8,5
2023/01/01 02:00:00+00,10.1,0.9,11.5,6
2023/01/01 03:00:00+00,7.5,0.3,8,7
2023/01/01 04:00:00+00,6.1,0.2,6.4,8
2023/01/01 05:00:00+00,5.9,0.2,6.2,9
2023/01/01 06:00:00+00,5.9,0.4,6.5,10
2023/01/01 07:00:00+00,6.3,0.3,6.8,11
2023/01/01 08:00:00+00,6.2,0.4,6.9,12
2023/01/01 09:00:00+00,7.3,0.5,8,13
2023/01/01 10:00:00+00,6.9,0.5,7.6,14
2023/01/01 11:00:00+00,9.7,0.6,10.6,15
2023/01/01 12:00:00+00,11.9,0.7,13,16
2023/01/01 13:00:00+00,15.4,0.8,16.9,17
2023/01/01 14:00:00+00,21.9,1.6,24.5,18
2023/01/01 15:00:00+00,22.4,1.7,25.1,19
2023/01/01 16:00:00+00,19.7,1.3,21.8,20
2023/01/01 17:00:00+00,26.4,1.6,28.9,21
2023/01/01 18:00:00+00,30.8,1.9,33.8,22
2023/01/01 19:00:00+00,38.6,3.7,44.4,23
2023/01/01 20:00:00+00,40.8,4.1,47.2,24
2023/01/01 21:00:00+00,24,1.2,25.8,25
2023/01/01 22:00:00+00,9.1,0.3,9.6,26
2023/01/01 23:00:00+00,6.2,0.2,6.6,27
2023/01/02 00:00:00+00,6.1,0.1,6.4,28
2023/01/02 01:00:00+00,5.8,0.1,5.8,29
2023/01/02 02:00:00+00,7.1,0,7.1,30
2023/01/02 03:00:00+00,5.9,0,5.9,31
2023/01/02 04:00:00+00,3.7,0,3.6,32
2023/01/02 05:00:00+00,5.1,0,5,33
2023/01/02 06:00:00+00,8.8,0,8.9,34
2023/01/02 07:00:00+00,17.7,0.5,18.6,35
2023/01/02 08:00:00+00,24.7,0.7,25.8,36
2023/01/02 09:00:00+00,29.1,2.4,32.8,37
2023/01/02 10:00:00+00,19.3,1.3,21.4,38
2023/01/02 11:00:00+00,20.7,2.4,24.4,39
2023/01/02 12:00:00+00,22.5,2.5,26.4,40
2023/01/02 13:00:00+00,18.9,3.3,24,41
2023/01/02 14:00:00+00,15.8,2.2,19.2,42
2023/01/02 15:00:00+00,19.9,1.9,22.8,43
2023/01/02 16:00:00+00,25.8,1.5,28.1,44
2023/01/02 17:00:00+00,39.9,1.2,41.8,45
2023/01/02 18:00:00+00,33.1,0.8,34.3,46
2023/01/02 19:00:00+00,48.4,3.3,53.5,47
2023/01/02 20:00:00+00,42.3,1.3,44.4,48
2023/01/02 21:00:00+00,40.4,1.1,42.1,49
2023/01/02 22:00:00+00,38.7,2.5,42.5,50
2023/01/02 23:00:00+00,32.4,0.7,33.5,51
2023/01/03 00:00:00+00,25.9,0.5,26.7,52
2023/01/03 01:00:00+00,30.7,0.6,31.7,53
2023/01/03 02:00:00+00,22.2,0.6,23.1,54
2023/01/03 03:00:00+00,13.1,0.2,13.4,55
2023/01/03 04:00:00+00,10.8,0,10.8,56
2023/01/03 05:00:00+00,7.5,0.1,7.7,57
2023/01/03 06:00:00+00,11.9,0.4,12.5,58
2023/01/03 07:00:00+00,19.4,0.8,20.8,59
2023/01/03 08:00:00+00,32.6,3,37.2,60
2023/01/03 09:00:00+00,26.9,2.4,30.6,61
2023/01/03 10:00:00+00,24.6,4.3,31.2,62
2023/01/03 11:00:00+00,20.1,3.4,25.4,63
2023/01/03 12:00:00+00,17.2,2.7,21.4,64
2023/01/03 13:00:00+00,15.2,2.7,19.3,65
2023/01/03 14:00:00+00,17.3,2.3,20.8,66
2023/01/03 15:00:00+00,18.7,1.6,21.2,67
2023/01/03 16:00:00+00,20.4,1.4,22.6,68
2023/01/03 17:00:00+00,24.8,1.6,27.2,69
2023/01/03 18:00:00+00,28.7,1.2,30.6,70
2023/01/03 19:00:00+00,23.2,0.8,24.4,71
2023/01/03 20:00:00+00,17.2,0.6,18.2,72
2023/01/03 21:00:00+00,13.3,0.5,14,73
2023/01/03 22:00:00+00,8,0.2,8.4,74
2023/01/03 23:00:00+00,5.9,0.2,6.2,75
2023/01/04 00:00:00+00,5.1,0,5.1,76
2023/01/04 01:00:00+00,7.3,0.1,7.5,77
2023/01/04 02:00:00+00,6.3,0,6.3,78
2023/01/04 03:00:00+00,6.4,0,6.4,79
2023/01/04 04:00:00+00,5.7,0,5.5,80
2023/01/04 05:00:00+00,5.1,0,4.9,81
2023/01/04 06:00:00+00,7.4,0.1,7.6,82
2023/01/04 07:00:00+00,16.7,1.1,18.4,83
2023/01/04 08:00:00+00,,,,84
2023/01/04 09:00:00+00,19.2,1,20.7,85
2023/01/04 10:00:00+00,17,1.4,19.1,86
2023/01/04 11:00:00+00,16.5,1.5,18.7,87
2023/01/04 12:00:00+00,,,,88
2023/01/04 13:00:00+00,,,,89
2023/01/04 14:00:00+00,17.1,1.2,18.9,90
2023/01/04 15:00:00+00,20.2,1.9,23.1,91
2023/01/04 16:00:00+00,20.7,2,23.8,92
2023/01/04 17:00:00+00,23.2,1.9,26.1,93
2023/01/04 18:00:00+00,18.3,0.6,19.2,94
2023/01/04 19:00:00+00,16.4,0.5,17.2,95
2023/01/04 20:00:00+00,13.1,0.5,14,96
2023/01/04 21:00:00+00,12.4,0.4,13.1,97
2023/01/04 22:00:00+00,15.2,0.5,16,98
2023/01/04 23:00:00+00,12,0.5,12.7,99
2023/01/05 00:00:00+00,8.7,0.1,8.8,100
2023/01/05 01:00:00+00,7.2,0,7.1,101
2023/01/05 02:00:00+00,5.3,0,5.1,102
2023/01/05 03:00:00+00,6.2,0,6.1,103
2023/01/05 04:00:00+00,5.6,0,5.4,104
2023/01/05 05:00:00+00,6.3,0,6.1,105
2023/01/05 06:00:00+00,12.6,0.1,12.7,106
2023/01/05 07:00:00+00,23.8,1.7,26.4,107
2023/01/05 08:00:00+00,33,4.3,39.5,108
2023/01/05 09:00:00+00,40.2,3.9,46.2,109
2023/01/05 10:00:00+00,36.4,5.8,45.3,110
2023/01/05 11:00:00+00,31,5.5,39.6,111
2023/01/05 12:00:00+00,29.2,4.1,35.4,112
2023/01/05 13:00:00+00,26.9,2.9,31.3,113
2023/01/05 14:00:00+00,24.7,2.5,28.4,114
2023/01/05 15:00:00+00,39.6,8.2,52.3,115
2023/01/05 16:00:00+00,29.5,4.6,36.6,116
2023/01/05 17:00:00+00,25.5,2,28.7,117
2023/01/05 18:00:00+00,27.5,1,29,118
2023/01/05 19:00:00+00,26.2,0.6,27.1,119
2023/01/05 20:00:00+00,20,0.5,20.8,120
2023/01/05 21:00:00+00,16.2,0.2,16.6,121
2023/01/05 22:00:00+00,22.4,0.9,23.7,122
2023/01/05 23:00:00+00,12.5,0,12.5,123
2023/01/06 00:00:00+00,12.3,0,12.3,124
2023/01/06 01:00:00+00,7.6,0,7.4,125
2023/01/06 02:00:00+00,5.8,0,5.6,126
2023/01/06 03:00:00+00,5.4,0,5.2,127
